EmployeeID,hours_mean,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
1,6.870228692547777,3,3,3.0,4.0,2.0,51,0,2.0,0.0,6,2,0.0,1.0,1,1.0,0.0,131160,1.0,11,0,1.0,6,1,0,0
2,7.315970548861944,2,4,3.0,2.0,4.0,31,1,1.0,0.0,10,1,0.0,1.0,1,0.0,0.0,41890,0.0,23,1,6.0,3,5,1,4
3,6.816080990629167,3,3,2.0,2.0,1.0,32,0,1.0,0.0,17,4,0.0,0.0,4,0.0,0.0,193280,1.0,15,3,5.0,2,5,0,3
4,6.789214636323056,2,3,4.0,4.0,3.0,38,0,0.0,0.0,2,5,0.0,0.0,3,0.0,0.0,83210,3.0,11,3,13.0,5,8,7,5
5,7.877561356537222,3,3,4.0,1.0,3.0,32,0,2.0,0.0,10,1,0.0,0.0,1,0.0,0.0,23420,4.0,12,2,9.0,2,6,0,4
6,10.275802097277777,3,3,3.0,2.0,2.0,46,0,2.0,0.0,8,3,0.0,1.0,4,0.0,0.0,40710,3.0,13,0,28.0,5,7,7,7
7,6.450876840696111,3,4,1.0,3.0,1.0,28,1,2.0,0.0,11,2,0.0,0.0,2,0.0,0.0,58130,2.0,20,1,5.0,2,0,0,0
8,6.5635575635875,3,4,1.0,2.0,3.0,29,0,2.0,0.0,18,3,0.0,0.0,2,0.0,0.0,31430,2.0,22,3,10.0,2,0,0,0
9,6.6843161535027775,3,4,2.0,4.0,3.0,31,0,2.0,0.0,1,3,0.0,0.0,3,0.0,0.0,20440,0.0,21,0,10.0,2,9,7,8
10,6.653576528335556,3,3,2.0,1.0,3.0,25,0,0.0,0.0,7,4,0.0,1.0,4,0.0,1.0,134640,1.0,13,1,6.0,2,6,1,5
11,8.133493975903612,2,3,3.0,4.0,3.0,45,0,2.0,0.0,17,2,0.0,0.0,2,0.0,0.0,79910,0.0,13,2,21.0,2,20,4,10
12,6.841839580544167,3,3,3.0,4.0,3.0,36,0,2.0,0.0,28,1,0.0,0.0,1,0.0,0.0,33770,0.0,12,2,16.0,2,15,10,11
13,8.55430834448889,3,3,4.0,1.0,3.0,55,0,2.0,0.0,14,4,0.0,1.0,1,0.0,0.0,55380,0.0,17,0,37.0,2,36,4,13
14,8.8714212405175,2,3,1.0,2.0,2.0,47,1,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,57620,1.0,11,2,10.0,4,10,9,9
15,5.894035029004722,3,3,4.0,4.0,2.0,28,0,2.0,0.0,1,3,0.0,0.0,1,0.0,0.0,25920,1.0,14,0,5.0,2,5,0,4
16,6.382033690316667,3,3,3.0,4.0,4.0,37,0,2.0,0.0,1,3,0.0,0.0,2,1.0,0.0,53460,4.0,11,0,7.0,2,5,0,1
